molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL310735,C[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,active,0.037
CHEMBL73368,CCCCCCCC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,active,50.0
CHEMBL308537,CO[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,active,0.13
CHEMBL307581,CO[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,active,0.12
CHEMBL70959,C[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,active,3.7
CHEMBL305205,C[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,active,0.049
CHEMBL73071,CCC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,active,43.0
CHEMBL72415,CCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,active,12.0
CHEMBL74295,CCCCCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,active,50.0
CHEMBL70436,CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,active,0.11
CHEMBL72538,CCCCCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,active,50.0
CHEMBL306022,CC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,active,3.3
CHEMBL72228,CC(=O)O[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,active,0.16
CHEMBL73993,CC12CCC3C(C[C@@H](O)C4=CCCCC43C)C1CCC2=O,active,0.05
CHEMBL304770,CC(=O)O[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,active,0.26
CHEMBL73219,CCCCC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,active,50.0
CHEMBL74339,CC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,active,1.3
CHEMBL304305,CCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,active,0.23
CHEMBL430879,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)cc2)n2cnnc2)cc1,active,100.0
CHEMBL325346,N#Cc1ccc(N(Cc2cccc(OS(N)(=O)=O)c2)n2cnnc2)cc1,active,39.0
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,active,250.0
CHEMBL322322,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(Cl)c2)n2cnnc2)cc1,active,2.3
CHEMBL108483,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(Br)c2)n2cnnc2)cc1,active,0.82
CHEMBL99057,C[C@]12CCC3C(CCC4=C(O)C(=O)CC[C@@]43C(F)F)C1CCC2=O,intermediate,3300.0
CHEMBL108425,N#Cc1ccc(N(Cc2ccc(Br)cc2)n2cnnc2)cc1,active,0.5
CHEMBL317581,Clc1ccc(COC(Cn2cccc2)c2ccc(Cl)cc2Cl)cc1,active,30.0
CHEMBL108646,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(F)c2)n2cnnc2)cc1,active,12.0
CHEMBL134748,C[C@@H]1C(OC(=O)Cc2ccccn2)CC2CC1C2(C)C,inactive,20000.0
CHEMBL134442,C[C@@H]1CCC2C(C)(C)C3CC21CC[C@@]3(C)OC(=O)Cc1ccncc1,active,440.0
CHEMBL135095,C[C@@H]1CCC2C(C)(C)C3CC21CC[C@@]3(C)OC(=O)Cc1cccnc1,intermediate,1700.0
CHEMBL134509,CC(C(=O)OC12CC3CC(CC(C3)C1)C2)c1cccnc1,intermediate,9100.0
CHEMBL3084923,CC(C)(C(=O)OC1(C)C2CC3CC(C2)CC1C3)c1cccnc1,inactive,40000.0
CHEMBL134169,CC(C)(C(=O)OC12CC3CC(CC(C3)C1)C2)c1cccnc1,inactive,35000.0
CHEMBL131984,C[C@@H]1C(OC(=O)Cc2cccnc2)CC2CC1C2(C)C,intermediate,5600.0
CHEMBL132072,C[C@@H]1C(OC(=O)Cc2ccncc2)CC2CC1C2(C)C,active,120.0
CHEMBL135037,O=C(Cc1cccnc1)OC12CC3CC(CC(C3)C1)C2,intermediate,8900.0
CHEMBL337251,C[C@@H]1C(OC(=O)C(C)(C)c2cccnc2)CC2CC1C2(C)C,inactive,30000.0
CHEMBL3084924,CC1(OC(=O)Cc2cccnc2)C2CC3CC(C2)CC1C3,inactive,10800.0
CHEMBL132380,CCC(CC)(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1ccncc1,inactive,55000.0
CHEMBL444068,C[C@@H]1CCC2C(C)(C)C3CC21CC[C@@]3(C)OC(=O)C(C)(C)c1cccnc1,inactive,80500.0
CHEMBL133724,CC(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1ccncc1,intermediate,1320.0
CHEMBL135070,C[C@@H]1C(OC(=O)C(C)(C)c2ccncc2)CC2CC1C2(C)C,intermediate,3850.0
CHEMBL336102,CCC(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1ccncc1,intermediate,3960.0
CHEMBL132066,CC(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1cccnc1,intermediate,8900.0
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,18500.0
CHEMBL41429,CCN1CCc2cccc(C(c3ccc(F)cc3)n3cncn3)c21,intermediate,2900.0
CHEMBL63297,Fc1ccc(C(C2Cc3ccccc3O2)n2cncn2)cc1,active,190.0
CHEMBL416616,CCn1ccc2cccc(C(c3ccc(F)cc3)n3ccnc3)c21,active,62.0
